prop_exp,prev_ne,risk,bias_mis,sd_mis,rmse_mis,bias_single,sd_single,rmse_single,power,SE_exp,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.01,0.5,0.00824373099743026,0.130042214551746,0.130238341853368,-0.00530966636646196,0.0865161905142925,0.0866357820234075,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.995,0.99,0.995,0.99
0.05,0.01,0.5,-0.00453754816258201,0.0710279322994808,0.0711372725292489,-0.0123575608601003,0.0390743212527758,0.0409632162945592,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.995,0.99,0.995,0.99
0.05,0.01,0.5,0.00607123387769293,0.133966306989825,0.134036876708916,0.0647039100190284,0.0947771493072067,0.114718443567372,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.995,0.99,0.995,0.99
0.05,0.01,0.5,-0.00269442481085935,0.0670485990210705,0.0670692108282107,0.0612145929349046,0.0448919256849798,0.0758979320857961,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.995,0.99,0.995,0.99
0.05,0.01,0.5,0.00504456226424632,0.127334155732504,0.127370408012738,0.13599736862696,0.0999147466328371,0.168725392017819,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.995,0.99,0.995,0.99
0.05,0.01,0.5,-0.00240434634387254,0.0687204230964166,0.0687281233218342,0.132319504594964,0.0513896201804573,0.141939083643252,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.995,0.99,0.995,0.99
0.05,0.01,1.2,0.0685834803234982,0.382950189508077,0.388854587950189,0.0185339030781844,0.270449553706647,0.270948931908462,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,1.2,0.0305363962108127,0.233056924851674,0.234933365413772,0.0118484690248921,0.173484800628271,0.173802374239294,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,1.2,0.0643037967587128,0.373134826110107,0.378451248029848,0.209438685489374,0.308645989134369,0.372869477487285,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,1.2,0.0169372360994773,0.24316321715077,0.243631056705887,0.173223499066764,0.204413421522317,0.267860864406309,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,1.2,0.0696639031834421,0.395333421950998,0.401229716501316,0.38660820855764,0.359846420631511,0.528039642374526,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,1.2,0.0240800840997752,0.229656421932907,0.230801170952712,0.351066715868207,0.21371628119578,0.41094624124062,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,2,0.105499044661652,0.609249555337997,0.618016087236723,0.0542217964035547,0.437906224868418,0.441032995502558,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,2,0.0586126654624941,0.370247753493195,0.374675539794646,0.0137741715745343,0.269399711400654,0.269617054543694,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,2,0.142508427662437,0.627000407165726,0.642685796505742,0.363891445678688,0.496047090453058,0.615007022292529,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,2,0.0726649337060175,0.38605804655538,0.392647382628926,0.295537794206443,0.313708991652655,0.430879920530873,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,2,0.144901698914436,0.568987147161155,0.586872328202007,0.660721432801798,0.546728575514183,0.857418238033309,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.01,2,0.0603636083256136,0.355653907222508,0.360564803095091,0.606848872398734,0.365950732404506,0.708555976998615,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.985,0.99,0.985
0.05,0.1,0.5,-0.0139822844488574,0.142686117232847,0.143298545007769,-0.00209283715974506,0.100191936560652,0.100163694495557,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.95,0.9,0.95,0.9
